id,classification
10547,PEGI +7
10555,None
10580,PEGI +3
10607,None
10609,PEGI +7
10611,PEGI +7
10633,PEGI +16
10638,None
10643,PEGI +18
10661,PEGI +12
10679,PEGI +12
10720,None
10753,None
10767,None
10784,None
10829,PEGI +18
10853,PEGI +7
10878,PEGI +12
10897,None
10910,None
10923,None
10924,None
10940,None
10980,PEGI +16
10981,None
10986,PEGI +12
10990,None
10992,None
10993,PEGI +3
10994,None
10997,PEGI +3
11009,PEGI +16
11012,None
11076,None
11159,None
11164,None
11189,None
11192,None
11193,None
11223,PEGI +12
11272,PEGI +12
11276,PEGI +18
11312,PEGI +16
11339,PEGI +12
11365,None
11386,None
11400,PEGI +12
11415,PEGI +12
11460,None
11471,PEGI +16
11525,None
11593,PEGI +12
11645,None
11669,None
11672,PEGI +3
11704,None
11726,None
11728,None
11731,None
11753,PEGI +12
11789,PEGI +7
11791,None
11800,PEGI +12
11815,None
11829,None
11831,PEGI +12
11833,None
11849,PEGI +12
11859,PEGI +16
11903,None
11958,PEGI +12
12006,None
12019,None
12020,PEGI +18
12024,None
12045,PEGI +16
12051,None
12071,None
12073,PEGI +12
12109,None
12119,PEGI +7
12140,None
12146,PEGI +7
12157,None
12166,PEGI +16
12241,None
12245,None
12286,PEGI +12
12320,PEGI +16
12321,None
12354,None
12528,None
12536,PEGI +18
12569,None
12614,PEGI +12
12636,PEGI +7
12687,None
12741,PEGI +16
12743,PEGI +16
12744,PEGI +3
12811,None
12871,None
12877,PEGI +12
12890,PEGI +12
12893,None
12906,PEGI +12
12929,None
12980,PEGI +12
12988,None
13011,None
13070,PEGI +12
13120,None
13156,PEGI +7
13172,PEGI +3
13191,None
13247,PEGI +16
13268,None
13274,PEGI +12
13350,PEGI +12
13396,PEGI +7
13461,PEGI +18
13464,PEGI +7
13466,PEGI +16
13481,None
13533,PEGI +7
13535,PEGI +18
13536,None
13537,PEGI +16
13566,None
13570,None
13589,None
13625,None
13627,None
13657,None
13668,PEGI +18
13694,PEGI +12
13759,PEGI +12
13777,PEGI +12
13778,PEGI +12
13779,PEGI +12
13787,PEGI +7
13820,PEGI +12
13843,PEGI +16
13909,None
13910,PEGI +18
13926,PEGI +16
13976,PEGI +3
14016,PEGI +16
14026,None
14072,PEGI +16
14085,None
14158,PEGI +7
14175,None
14188,None
14274,None
14331,PEGI +16
14334,None
14348,PEGI +18
14446,PEGI +18
14447,None
14448,None
14575,None
14615,None
14675,None
14684,None
14689,None
14690,PEGI +12
14692,PEGI +3
14733,None
14741,None
14784,PEGI +16
14788,None
14796,None
14803,PEGI +18
14904,None
14913,None
14927,PEGI +16
14983,None
14988,PEGI +7
14989,None
15002,None
15164,None
15234,None
15237,PEGI +7
15314,None
15341,None
15362,PEGI +12
15406,PEGI +16
15431,None
15467,None
15604,None
15656,None
15701,PEGI +3
15712,PEGI +12
15713,PEGI +12
15731,PEGI +7
15764,None
15770,None
15829,PEGI +16
15932,None
15958,None
15985,PEGI +12
15986,PEGI +12
16072,PEGI +12
16113,PEGI +18
16118,None
16123,None
16132,PEGI +7
16159,None
16167,None
16189,None
16252,PEGI +16
16253,PEGI +16
16255,PEGI +12
16259,PEGI +3
16284,PEGI +12
16286,None
16308,PEGI +18
16311,PEGI +7
16378,None
16408,PEGI +16
16434,PEGI +12
16437,PEGI +18
16450,PEGI +16
16452,PEGI +16
16453,None
16456,None
16605,None
16628,None
16649,PEGI +12
16698,PEGI +7
16700,PEGI +3
16711,None
16716,PEGI +7
16718,PEGI +7
16723,None
16747,None
16754,PEGI +12
16787,PEGI +16
16792,None
16804,None
16850,None
16867,PEGI +18
16899,None
16930,None
16944,PEGI +18
16948,None
16951,None
16961,PEGI +12
16985,None
17013,PEGI +18
17025,None
17043,None
17085,None
17087,None
17093,None
17121,None
17126,None
17127,PEGI +12
17134,None
17136,PEGI +16
17187,PEGI +12
17230,None
17282,PEGI +7
17283,PEGI +16
17356,PEGI +12
17357,PEGI +12
17373,None
17375,None
17403,PEGI +12
17410,None
17413,None
17450,PEGI +12
17517,None
17522,None
17524,None
17528,None
17535,None
17536,PEGI +18
17558,PEGI +12
17597,None
17600,PEGI +18
17606,PEGI +16
17615,None
17630,PEGI +12
17646,PEGI +3
17652,None
17658,None
17662,PEGI +12
